Estacao,Data,Hora,Precipitacao
83781,13/06/1963,1200,11.3
83781,14/06/1963,1200,5.3
83781,15/06/1963,1200,1.5
83781,16/06/1963,1200,0
83781,17/06/1963,1200,0
83781,18/06/1963,1200,0
83781,19/06/1963,1200,0
83781,20/06/1963,1200,1.9
83781,21/06/1963,1200,0
83781,22/06/1963,1200,0
83781,23/06/1963,1200,0
83781,24/06/1963,1200,0
83781,25/06/1963,1200,0
83781,26/06/1963,1200,0
83781,27/06/1963,1200,0
83781,28/06/1963,1200,0
83781,29/06/1963,1200,0
83781,30/06/1963,1200,0
83781,01/07/1963,1200,0
83781,02/07/1963,1200,0
83781,03/07/1963,1200,0
83781,04/07/1963,1200,0
83781,05/07/1963,1200,0
83781,06/07/1963,1200,0
83781,07/07/1963,1200,0
83781,08/07/1963,1200,0
83781,09/07/1963,1200,0
83781,10/07/1963,1200,0
83781,11/07/1963,1200,0
83781,12/07/1963,1200,0
83781,13/07/1963,1200,0
83781,14/07/1963,1200,0
83781,15/07/1963,1200,0
83781,16/07/1963,1200,0
83781,17/07/1963,1200,0
83781,18/07/1963,1200,0
83781,19/07/1963,1200,0
83781,20/07/1963,1200,0
83781,21/07/1963,1200,0
83781,22/07/1963,1200,0
83781,23/07/1963,1200,3
83781,24/07/1963,1200,0
83781,25/07/1963,1200,0
83781,26/07/1963,1200,0
83781,27/07/1963,1200,0
83781,28/07/1963,1200,0
83781,29/07/1963,1200,0
83781,30/07/1963,1200,0
83781,31/07/1963,1200,0
83781,01/08/1963,1200,0
83781,02/08/1963,1200,0
83781,03/08/1963,1200,0
83781,04/08/1963,1200,0
83781,05/08/1963,1200,0
83781,06/08/1963,1200,0
83781,07/08/1963,1200,0
83781,08/08/1963,1200,0
83781,09/08/1963,1200,0
83781,10/08/1963,1200,0
83781,11/08/1963,1200,0
83781,12/08/1963,1200,0
83781,13/08/1963,1200,0
83781,14/08/1963,1200,0
83781,15/08/1963,1200,0
83781,16/08/1963,1200,4.1
83781,17/08/1963,1200,0
83781,18/08/1963,1200,5.2
83781,19/08/1963,1200,0
83781,20/08/1963,1200,0
83781,21/08/1963,1200,0
83781,22/08/1963,1200,0
83781,23/08/1963,1200,0
83781,24/08/1963,1200,0
83781,25/08/1963,1200,0
83781,26/08/1963,1200,0
83781,27/08/1963,1200,0
83781,28/08/1963,1200,0
83781,29/08/1963,1200,0
83781,30/08/1963,1200,0
83781,31/08/1963,1200,0
